forecast_step,prediction,lower_80,upper_80
1,0.50916547,0.46233207,0.5517323
2,0.508815,0.45694357,0.5661229
3,0.51166683,0.45159698,0.5768585
4,0.51394874,0.45402813,0.58370286
5,0.5101175,0.4485541,0.59092784
6,0.512689,0.44333655,0.5970019
7,0.51431185,0.44586837,0.60346824
8,0.5163619,0.44523168,0.6146999
9,0.5181765,0.4339892,0.6158414
10,0.51376855,0.42099857,0.6106473
11,0.51045334,0.4149293,0.6108934
12,0.5152289,0.41629246,0.62110823
13,0.5155366,0.41482118,0.62226224
14,0.5138007,0.406971,0.6150528
15,0.51645625,0.40691462,0.62482
16,0.5164489,0.40637848,0.62824446
17,0.5182316,0.39926285,0.6439773
18,0.51648945,0.40089792,0.63886017
19,0.5132187,0.38096723,0.65171295
20,0.51312786,0.3785718,0.65233654
21,0.51767445,0.38295424,0.6511734
22,0.51307595,0.3733283,0.6517469
23,0.51098263,0.36404026,0.6517399
24,0.51299727,0.36528695,0.6583218
